Sample_ID,C10,i-C11,a-C11,C11,i-C12,C12,i-C13,a-C13,C13,i-C14,C14,i-C15,a-C15,C15,i-C16,C16,i-C17,a-C17,C17,i-C18,C18,MAAT,pH
SNJ 1-2,2.14,0.47,0,0.18,0,11.73,3.27,0.52,0.65,1.34,28.34,6.09,3.44,0.74,0.69,15.87,6.7,1.18,0.62,0,16.05,7.3,4.49
SNJ 2-1,2.27,0.25,0.08,0.2,0.1,29.65,2.88,0.28,0.95,1,22.56,4.29,2.71,0.61,0.73,15.62,3.73,0.96,0.86,0,10.27,7.3,5.13
SNJ 3-1,3.3,0.25,0.09,0.28,0,18.82,2.75,0.38,1.09,1.58,28.27,5.98,3.44,0.43,0.53,11.27,3.73,1.15,0.32,0,16.34,1.9,5.94
SNJ 4-2,6.23,0.3,0.06,0.24,0.06,11.52,2.3,0.25,0.42,1.42,19.34,6.75,3.96,0.39,0,15.99,5.04,1.07,0.46,0,24.21,2.9,4.74
SNJ 5-1,4.57,0.38,0,0.3,0.11,13.4,3.3,0.42,0.41,1.44,27.77,7.16,2.88,0.49,0,15.49,8.93,1.33,0.59,0,11.02,4.2,5.81
SNJ 6-1,5.01,0.76,0.11,0.27,0.25,12.69,3.73,0.77,0.4,1.56,22.97,6.49,2.92,0.57,1.53,16.77,10.7,2.12,0.72,0,9.65,5.2,7.5
SNJ 6-2,5.17,0.41,0.05,0.24,0.14,14.6,3.47,0.54,0.36,1.37,22.83,5.94,3.07,0.57,0.9,18.06,7.34,1.56,0.65,0,12.75,5.2,5.65
SNJ 6-4,0.74,0.08,0.02,0.08,0.07,8.89,2.76,0.7,0.35,1.58,32.52,6.77,3.77,0.73,0.93,21.34,5.99,1.49,0.57,0,10.64,5.2,6.4
SNJ 7-3,3.17,0.37,0,0.34,0.06,13.62,2.91,0.68,0.53,1.32,22.17,5.35,3.15,0.78,0.98,18.17,6.6,1.56,1.09,0,17.16,6.2,5.56
SNJ 7-4,3.22,0.45,0.11,0.27,0.14,15.59,4.85,0.81,0.56,1.81,25.06,6.55,4.01,0.8,0.86,16.32,5.75,1.43,0.71,0,10.69,6.2,6.76
SNJ 8-2,3.96,0.46,0,0.21,0.19,12.42,2.75,0.46,0.46,1.43,24.53,6.82,2.74,0.54,1.18,16.4,10.74,1.72,0.72,0,12.27,7.2,6.91
SNJ 8-4,5.51,0.47,0,0.76,0.46,11.84,6.09,1.14,0.65,1.97,21.51,10.03,3.74,0.71,1.57,13.97,10.8,1.75,0.71,0,6.32,7.3,7.98
SNJ 9-1,6.1,0.8,0.07,0.25,0.14,14.16,3.06,0.41,0.34,1.04,25.06,4.77,2.95,0.84,1.03,15.71,6.86,1.32,0.65,0,14.45,8.2,6.06
SNJ 9-2,2.58,0.17,0,0.05,0.03,10.6,2.32,0.11,0.13,0.99,28.83,5.59,2.67,0.73,0.99,17.63,8.24,1.52,0.87,0,15.94,8.2,5.33
SNJ 9-4,4.3,0.66,0,0.18,0.05,11.95,2.57,0.28,0.33,0.98,28.65,5.56,2.41,0.48,0.74,16.33,8.54,1.15,0.58,0,14.27,8.2,5.83
